Timestamp,Action,Case #,Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Parcel ID
2026-04-17T21:45:55,NEW,24000614CA,04/20/2026 11:00 AM ET,"23221 ELMIRA BLVD PORT CHARLOTTE, FL- 33980","$177,277.51","$119,537.00",Hidden,402224335009
2026-04-17T21:45:55,NEW,24001823CA,04/20/2026 11:00 AM ET,,"$817,634.38",Hidden,Hidden,
2026-04-17T21:45:55,NEW,25000933CA,04/20/2026 11:00 AM ET,"12439 PRATHER AVE PORT CHARLOTTE, FL- 33981","$564,119.63","$502,843.00",Hidden,402119428003
2026-04-17T21:45:55,NEW,25001187CA,04/20/2026 11:00 AM ET,"1128 INVERNESS ST PORT CHARLOTTE, FL- 33952","$339,180.00","$213,351.00",Hidden,402212106015
2026-04-17T21:45:55,NEW,25001451CA,04/20/2026 11:00 AM ET,"21229 PEACHLAND BLVD PORT CHARLOTTE, FL- 33954","$316,609.92","$198,210.00",Hidden,402210129002
2026-04-17T21:45:55,NEW,25001460CA,,"2201 EDNOR ST PORT CHARLOTTE, FL- 33952","$180,135.98","$111,176.00",Hidden,402215153021
2026-04-17T21:45:55,NEW,23003130CA,04/22/2026 11:00 AM ET,"5801 GILLOT BLVD PORT CHARLOTTE, FL- 33981","$110,183.92","$134,649.00",Hidden,402132456007
2026-04-17T21:45:55,NEW,25000766CA,04/22/2026 11:00 AM ET,"15084 MCGRAW AVE PORT CHARLOTTE, FL- 33953","$318,721.35","$6,845.00",Hidden,402103156024
2026-04-17T21:45:55,NEW,25000861CA,04/22/2026 11:00 AM ET,"528 ROSE APPLE CIR PORT CHARLOTTE, FL- 33954","$305,660.35","$22,627.00",Hidden,402204362010
2026-04-17T21:45:55,NEW,25001516CA,,"16863 SOL PRESERVE DR PORT CHARLOTTE, FL- 33953","$420,802.14","$266,690.00",Hidden,402112251332
2026-04-17T21:45:55,NEW,24001739CA,,"3136 HARBOR BLVD -UNIT 2A PORT CHARLOTTE, FL- 33952","$79,585.34","$27,191.00",Hidden,402222603003
2026-04-17T21:45:55,NEW,25000086CA,04/24/2026 11:00 AM ET,"21010 MIDWAY BLVD PORT CHARLOTTE, FL- 33952","$405,485.76","$294,755.00",Hidden,402216230017
2026-04-17T21:45:55,NEW,25000566CA,04/24/2026 11:00 AM ET,"701 DALTON BLVD PORT CHARLOTTE, FL- 33952","$254,303.62","$133,348.00",Hidden,402227281005
2026-04-17T21:45:55,NEW,25000714CA,04/24/2026 11:00 AM ET,"573 ROSE APPLE CIR PORT CHARLOTTE, FL- 33954","$294,159.37","$16,179.00",Hidden,402204357011
2026-04-17T21:45:55,NEW,25000826CA,,"22442 PEACHLAND BLVD PORT CHARLOTTE, FL- 33954","$307,331.25","$16,150.00",Hidden,402202480018
2026-04-17T21:45:55,NEW,25000736CA,,"434 ALBATROSS RD ROTONDA WEST, FL- 33947","$300,363.00","$18,573.00",Hidden,412117107019
2026-04-17T21:45:55,NEW,25000711CA,04/29/2026 11:00 AM ET,"475 WINWOOD CT PORT CHARLOTTE, FL- 33954","$307,907.96","$234,692.00",Hidden,402204357020
2026-04-17T21:45:55,NEW,25001104CA,,"142 FAIRWAY ROAD ROTONDA WEST, FL- 33947 Plaintiff max bid: $450,610.88 page of 1","$450,610.88",Hidden,Hidden,Property Appraiser
2026-04-17T21:45:55,NEW,24001716CA,04/30/2026 11:00 AM ET,"10460 GREENWAY AVE ENGLEWOOD, FL- 34224","$287,327.23","$302,291.00",Hidden,412011481017
2026-04-17T21:45:55,NEW,25000747CA,,"8917 CALUMET BLVD PORT CHARLOTTE, FL- 33981","$355,151.37","$27,200.00",Hidden,412115160003
2026-04-17T21:45:55,NEW,24002282CA,05/01/2026 11:00 AM ET,"277 SEASONS DR PUNTA GORDA, FL- 33983","$393,066.35","$350,151.00",Hidden,402303301002
2026-04-17T21:45:55,NEW,25000755CA,05/01/2026 11:00 AM ET,"9032 EVELYN RD ENGLEWOOD, FL- 34224","$355,095.06","$21,251.00",Hidden,412027102003
2026-04-17T21:45:55,NEW,25000828CA,,"605 ROSE APPLE CIR PORT CHARLOTTE, FL- 33954","$303,791.90","$228,244.00",Hidden,402204357004
2026-04-17T21:45:55,NEW,24002256CA,05/04/2026 11:00 AM ET,"1080 GULF BLVD ENGLEWOOD, FL- 34223","$1,078,487.03","$268,770.00",Hidden,412018103006
2026-04-17T21:45:55,NEW,25000784CA,05/04/2026 11:00 AM ET,"9040 EVELYN RD ENGLEWOOD, FL- 34224","$318,078.57","$21,251.00",Hidden,412027102004
2026-04-17T21:45:55,NEW,25001710CA,,,"$571,023.83",Hidden,Hidden,
